PUF_ID,fwb2_2_money_left,savings_range,have_account,have_health_ins,payday_loan,pawn_car_title_loan,disrespect_fin_services,hardship_food_ran_out,hardship_housing,rejected_credit,could_access_2000,health,generation,education,ethnicity,household_income,final_weight
10350,Sometimes,"$20,000-74,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Fair,Pre-Boomer,Bachelors degree,"White, Non-Hispanic","$75,000 to $99,999",0.367291878
7740,Rarely,$1-99,Yes,Yes,No,No,Rarely,Never,Never,No,"I could probably come up with $2,000",Good,Gen X,High school degree/GED,"White, Non-Hispanic","$60,000 to $74,999",1.327560712
13699,Sometimes,"$1,000-4,999",Yes,No,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Gen X,Some college/Associate,"Black, Non-Hispanic","$60,000 to $74,999",0.835155812
7267,Sometimes,Refused,No,No,No,No,Refused,Sometimes,Sometimes,No,I dont know,Refused,Gen X,High school degree/GED,"White, Non-Hispanic","$100,000 to $149,999",1.410871002
7375,Sometimes,I dont know,Yes,No,No,Yes,Sometimes,Sometimes,Sometimes,No,"I could probably not come up with $2,000",Good,Millennial,High school degree/GED,"Other, Non-Hispanic","$75,000 to $99,999",4.260668143
10910,Always,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Millennial,Bachelors degree,"White, Non-Hispanic","$75,000 to $99,999",0.760060876
11079,Rarely,"$1,000-4,999",Yes,No,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Gen X,Bachelors degree,Hispanic,"$75,000 to $99,999",1.37052174
7741,Sometimes,0,Yes,No,No,No,Rarely,Often,Never,No,"I am certain I could not come up with $2,000",Fair,Millennial,Less than high school,"White, Non-Hispanic","$40,000 to $49,999",1.193365066
8303,Always,"$5,000-19,999",No,No,No,Yes,Rarely,Sometimes,Never,No,"I could probably come up with $2,000",Very good,Gen X,Less than high school,"Other, Non-Hispanic","$75,000 to $99,999",2.497838361
9688,Often,"$75,000 or more",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Gen X,High school degree/GED,"White, Non-Hispanic","$100,000 to $149,999",1.266602329
13180,Always,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Millennial,Some college/Associate,"White, Non-Hispanic","$60,000 to $74,999",0.93791212
10127,Often,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Boomer,Bachelors degree,"White, Non-Hispanic","$100,000 to $149,999",0.745163109
7852,Often,"$1,000-4,999",Yes,No,No,No,Rarely,Never,Never,No,"I could probably come up with $2,000",Very good,Millennial,Some college/Associate,"White, Non-Hispanic","$30,000 to $39,999",1.292576341
7376,Rarely,0,Yes,No,No,No,Never,Never,Never,No,"I am certain I could not come up with $2,000",Very good,Millennial,Bachelors degree,"White, Non-Hispanic","$150,000 or more",1.140933621
8304,Often,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Millennial,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.810600276
11726,Always,"$5,000-19,999",Yes,No,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Millennial,Less than high school,Hispanic,"$20,000 to $29,999",4.283984654
11221,Never,$1-99,Yes,No,No,No,Sometimes,Often,Never,Yes,"I am certain I could not come up with $2,000",Very good,Millennial,High school degree/GED,"White, Non-Hispanic","Less than $20,000",1.025191714
8121,Sometimes,$100-999,Yes,Yes,No,No,Rarely,Never,Never,No,"I could probably come up with $2,000",Good,Millennial,Some college/Associate,"White, Non-Hispanic","$30,000 to $39,999",1.045180517
8122,Always,"$75,000 or more",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.49505347
12990,Sometimes,Prefer not to say,No,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Fair,Boomer,High school degree/GED,"Black, Non-Hispanic","$20,000 to $29,999",0.866999434
10548,Rarely,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Gen X,Some college/Associate,"White, Non-Hispanic","$100,000 to $149,999",1.301506535
13389,Sometimes,"$20,000-74,999",Yes,No,No,No,Sometimes,Never,Sometimes,No,"I could probably come up with $2,000",Fair,Gen X,Bachelors degree,"Other, Non-Hispanic","$60,000 to $74,999",1.163320887
10351,Often,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Graduate/professional degree,"Other, Non-Hispanic","$100,000 to $149,999",0.450493754
13255,Never,$100-999,Yes,Yes,No,No,Sometimes,Sometimes,Never,Yes,"I could probably not come up with $2,000",Good,Millennial,Some college/Associate,"White, Non-Hispanic","$40,000 to $49,999",1.044339167
7853,Always,Prefer not to say,No,No,No,No,Sometimes,Never,Never,No,I dont know,Excellent,Gen X,Some college/Associate,"Black, Non-Hispanic","$100,000 to $149,999",1.572803725
12675,Often,"$20,000-74,999",No,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,Bachelors degree,Hispanic,"$75,000 to $99,999",0.369339629
11353,Always,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,High school degree/GED,"White, Non-Hispanic","$100,000 to $149,999",0.389242114
9433,Always,"$20,000-74,999",Yes,No,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Some college/Associate,"Black, Non-Hispanic","$75,000 to $99,999",0.828111179
12518,Sometimes,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,High school degree/GED,"White, Non-Hispanic","$60,000 to $74,999",1.089344504
10549,Always,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,High school degree/GED,"White, Non-Hispanic","$60,000 to $74,999",0.616246171
8518,Rarely,Prefer not to say,No,No,No,No,Never,Never,Never,No,I dont know,Good,Gen X,High school degree/GED,"White, Non-Hispanic","Less than $20,000",1.038446872
11727,Rarely,0,Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could not come up with $2,000",Fair,Gen X,High school degree/GED,"White, Non-Hispanic","$20,000 to $29,999",1.010167726
10911,Often,"$1,000-4,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I could probably not come up with $2,000",Very good,Millennial,Some college/Associate,"White, Non-Hispanic","$75,000 to $99,999",1.515506993
8945,Never,0,No,No,No,No,Never,Sometimes,Never,No,"I could probably not come up with $2,000",Very good,Millennial,High school degree/GED,"Black, Non-Hispanic","$30,000 to $39,999",1.49569506
11354,Often,"$1,000-4,999",Yes,Yes,No,No,Rarely,Never,Often,No,"I could probably come up with $2,000",Very good,Millennial,Some college/Associate,Hispanic,"Less than $20,000",0.639515234
12162,Never,I dont know,Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could not come up with $2,000",Good,Millennial,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.790106185
7854,Always,0,Yes,No,No,No,Never,Never,Never,No,"I could probably come up with $2,000",Very good,Gen X,High school degree/GED,"White, Non-Hispanic","$60,000 to $74,999",1.327560712
11080,Never,$1-99,No,No,No,No,Rarely,Sometimes,Never,Yes,"I am certain I could not come up with $2,000",Very good,Boomer,Some college/Associate,"Black, Non-Hispanic","$20,000 to $29,999",0.698364428
10757,Always,"$75,000 or more",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Some college/Associate,"White, Non-Hispanic","$150,000 or more",0.641699029
10758,Always,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Gen X,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.576822756
10128,Often,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Some college/Associate,"White, Non-Hispanic","$150,000 or more",0.632409533
12639,Always,"$75,000 or more",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Millennial,Graduate/professional degree,"White, Non-Hispanic","$30,000 to $39,999",0.419506525
14399,Rarely,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,Yes,"I am certain I could come up with the full $2,000",Good,Boomer,Some college/Associate,"Other, Non-Hispanic","$75,000 to $99,999",0.548648574
10352,Often,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Millennial,Bachelors degree,"White, Non-Hispanic","$30,000 to $39,999",0.940052336
12163,Rarely,"$1,000-4,999",No,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Gen X,Bachelors degree,"White, Non-Hispanic","$50,000 to $59,999",0.603385559
10353,Always,Prefer not to say,Yes,Yes,No,No,Never,Never,Often,No,"I am certain I could not come up with $2,000",Very good,Millennial,High school degree/GED,"White, Non-Hispanic","$40,000 to $49,999",1.435735745
12676,Sometimes,"$1,000-4,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Some college/Associate,"White, Non-Hispanic","$20,000 to $29,999",0.801111927
8305,Often,Prefer not to say,Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.242529597
9182,Often,Prefer not to say,Yes,Yes,No,No,Never,Never,Never,No,"I could probably come up with $2,000",Fair,Boomer,High school degree/GED,"White, Non-Hispanic","$40,000 to $49,999",0.64730059
8946,Sometimes,"$1,000-4,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Some college/Associate,"White, Non-Hispanic","$60,000 to $74,999",1.392180551
14079,Rarely,$1-99,Yes,Yes,Yes,No,Often,Often,Never,Yes,"I am certain I could not come up with $2,000",Good,Millennial,Bachelors degree,Hispanic,"$30,000 to $39,999",0.401878393
13243,Always,"$20,000-74,999",Yes,Yes,No,No,Often,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,High school degree/GED,"White, Non-Hispanic","$100,000 to $149,999",1.137652528
9183,Rarely,"$5,000-19,999",Yes,No,No,No,Sometimes,Never,Never,No,"I could probably come up with $2,000",Very good,Millennial,Some college/Associate,Hispanic,"$60,000 to $74,999",1.204676585
12560,Rarely,$100-999,Yes,Yes,No,No,Rarely,Sometimes,Never,No,I dont know,Good,Boomer,Graduate/professional degree,Hispanic,"$150,000 or more",0.997541025
11222,Sometimes,Prefer not to say,Yes,Yes,No,No,Sometimes,Never,Never,No,"I could probably come up with $2,000",Good,Boomer,Some college/Associate,Hispanic,"$30,000 to $39,999",0.364615053
11081,Always,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Graduate/professional degree,"White, Non-Hispanic","$50,000 to $59,999",0.436351468
