PUF_ID,sample,fed_poverty,fwb_score,fwb1_handle_expense,fwb2_secure_future,fwb3_things_i_want,fwb4_enjoy_life,fwb5_just_getting_by,fwb6_worried_savings,fwb2_1_gift_strain,fwb2_2_money_left,fwb2_3_behind_finances,fwb2_4_control_life,fin_skill_score,housing_own_rent,house_cost_range,savings_range,have_account,have_health_ins,have_retire_acct,have_pension,payday_loan,pawn_car_title_loan,check_cashing,disrespect_fin_services,hardship_food_worried,hardship_food_ran_out,hardship_housing,hardship_healthcare,hardship_medicine,hardship_utilities,rejected_credit,could_access_2000,shock_lost_job,shock_foreclosure,health,age_category,generation,education,ethnicity,gender,household_size,household_income,marital_status,MSA_status,final_weight
10350,Age 62+ oversample,200%+ FPL,55,Somewhat,Somewhat,Somewhat,Somewhat,Very little,Somewhat,Rarely,Sometimes,Rarely,Often,44,I own my home,$750-999,"$20,000-74,999",Yes,Yes,Yes,Yes,No,No,No,Sometimes,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Fair,75+,Pre-Boomer,Bachelors degree,"White, Non-Hispanic",Male,1,"$75,000 to $99,999",Divorced/Separated,Metro,0.367291878
7740,General population,200%+ FPL,51,Very little,Very little,Somewhat,Somewhat,Somewhat,Very well,Rarely,Rarely,Rarely,Sometimes,43,I own my home,$750-999,$1-99,Yes,Yes,No,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I could probably come up with $2,000",No,No,Good,35-44,Gen X,High school degree/GED,"White, Non-Hispanic",Male,2,"$60,000 to $74,999",Divorced/Separated,Metro,1.327560712
13699,General population,200%+ FPL,49,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Sometimes,Sometimes,42,I own my home,$500-749,"$1,000-4,999",Yes,No,Yes,Yes,No,No,Yes,Sometimes,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,35-44,Gen X,Some college/Associate,"Black, Non-Hispanic",Male,3,"$60,000 to $74,999",Divorced/Separated,Metro,0.835155812
7267,General population,200%+ FPL,49,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Sometimes,Sometimes,42,Refused,Prefer not to say,Refused,No,No,No,No,No,No,No,Refused,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,No,I dont know,No,No,Refused,35-44,Gen X,High school degree/GED,"White, Non-Hispanic",Male,1,"$100,000 to $149,999",Divorced/Separated,Metro,1.410871002
7375,General population,200%+ FPL,49,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Sometimes,Sometimes,42,I rent,$300-499,I dont know,Yes,No,Yes,No,No,Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,No,"I could probably not come up with $2,000",No,No,Good,25-34,Millennial,High school degree/GED,"Other, Non-Hispanic",Male,5+,"$75,000 to $99,999",Married,Metro,4.260668143
10910,General population,200%+ FPL,67,Completely,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Always,Rarely,Rarely,57,I own my home,$750-999,"$5,000-19,999",Yes,Yes,Yes,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Excellent,25-34,Millennial,Bachelors degree,"White, Non-Hispanic",Male,2,"$75,000 to $99,999",Married,Metro,0.760060876
11079,General population,200%+ FPL,51,Not at all,Somewhat,Very little,Somewhat,Somewhat,Somewhat,Sometimes,Rarely,Never,Often,54,I own my home,Prefer not to say,"$1,000-4,999",Yes,No,No,No,No,No,No,Sometimes,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,35-44,Gen X,Bachelors degree,Hispanic,Female,5+,"$75,000 to $99,999",Married,Metro,1.37052174
7741,General population,200%+ FPL,47,Not at all,Very little,Very well,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Sometimes,Sometimes,35,I do not currently own or rent,Less than $300,0,Yes,No,No,No,No,No,No,Rarely,Often,Often,Never,Often,Often,Never,No,"I am certain I could not come up with $2,000",Yes,No,Fair,25-34,Millennial,Less than high school,"White, Non-Hispanic",Female,3,"$40,000 to $49,999",Never married,Metro,1.193365066
8303,General population,200%+ FPL,43,Very well,Completely,Very little,Completely,Completely,Very little,Always,Always,Often,Often,58,I own my home,"$1,000-1,499","$5,000-19,999",No,No,Yes,No,No,Yes,No,Rarely,Never,Sometimes,Never,Never,Never,Never,No,"I could probably come up with $2,000",No,No,Very good,35-44,Gen X,Less than high school,"Other, Non-Hispanic",Female,4,"$75,000 to $99,999",Married,Metro,2.497838361
9688,General population,200%+ FPL,58,Somewhat,Somewhat,Very little,Somewhat,Somewhat,Somewhat,Rarely,Often,Rarely,Rarely,42,I own my home,"$1,000-1,499","$75,000 or more",Yes,Yes,No,Yes,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,45-54,Gen X,High school degree/GED,"White, Non-Hispanic",Male,3,"$100,000 to $149,999",Married,Metro,1.266602329
