Date,AUTO,CREDIT_CARD,MORTGAGE,HELOC,STUDENT_LOAN,OTHER,ALL
2003,2.1375,8.227500000000001,1.4699999999999998,0.6924999999999999,5.6499999999999995,4.9399999999999995,2.525
2004,1.8350000000000002,7.3125,1.3325,0.35250000000000004,5.7124999999999995,4.9750000000000005,2.165
2005,1.675,6.265,1.3275000000000001,0.41000000000000003,6.8775,4.25,1.9975
2006,1.9225000000000003,5.635,1.4425,0.56,7.257499999999999,3.88,2.0275
2007,2.3699999999999997,6.4525,2.7275,1.31,7.93,4.0625,3.1175
2008,3.0,7.94,5.68,3.2225,7.4975,5.915,5.5975
2009,3.355,10.3075,8.075,4.8275,7.6274999999999995,7.805,7.699999999999999
2010,2.7025,10.217500000000001,6.745,3.5300000000000002,8.495,7.047499999999999,6.632499999999999
2011,1.8474999999999997,6.755,4.835000000000001,2.9325,8.8175,5.3175,4.935
2012,1.5675,4.99,3.9875,2.4350000000000005,9.955,4.075,4.2525
2013,1.6025,4.157500000000001,2.8625,1.6124999999999998,10.12,3.965,3.4025
2014,1.695,3.845,2.0475,1.6099999999999999,10.227500000000001,3.825,2.8550000000000004
2015,2.0225,3.7825,1.6324999999999998,1.0925,10.1525,4.0175,2.5975
2016,2.205,3.6049999999999995,1.3699999999999999,1.0125,9.525,4.157500000000001,2.39
2017,2.3249999999999997,4.435,1.2149999999999999,0.9149999999999999,9.575,4.59,2.3850000000000002
2018,2.3225,4.817500000000001,1.17,0.9825,8.8725,4.7875,2.3249999999999997
2019,2.3466666666666662,5.123333333333334,1.0433333333333332,0.7999999999999999,9.51,4.7733333333333325,2.33
