,AUTO,CC,MORTGAGE,HELOC,STUDENT LOAN,OTHER,ALL,,New Seriously Delinquent* Balances by Loan Type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:Q1,2.18,8.27,1.44,0.81,,4.83,2.54,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:Q2,2.19,8.41,1.50,0.78,,4.99,2.59,,*90 or more days delinquent,,,,Source: New York Fed Consumer Credit Panel/Equifax,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:Q3,2.14,8.17,1.50,0.71,,5.06,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:Q4,2.04,8.06,1.44,0.47,,4.88,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:Q1,1.97,7.77,1.34,0.41,5.77,4.98,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:Q2,1.82,7.34,1.29,0.36,5.40,5.16,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:Q3,1.77,7.14,1.34,0.35,5.59,4.96,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:Q4,1.78,7.00,1.36,0.29,6.09,4.80,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:Q1,1.69,6.64,1.36,0.40,6.81,4.43,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:Q2,1.68,6.36,1.37,0.43,6.83,4.11,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:Q3,1.66,6.27,1.31,0.43,7.17,4.25,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:Q4,1.67,5.79,1.27,0.38,6.70,4.21,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:Q1,1.66,5.51,1.32,0.31,6.68,4.15,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:Q2,1.79,5.61,1.31,0.48,7.12,4.00,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:Q3,2.02,5.59,1.46,0.66,7.35,3.82,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
