New Seriously Delinquent* Balances by Loan Type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent,,,,,,,,,Billions of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*90 or more days delinquent,,,,Source: New York Fed Consumer Credit Panel/Equifax,,,,,*90 or more days delinquent,,,,Source: New York Fed Consumer Credit Panel/Equifax,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Table of Contents,,,,,,,,,Return to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUTO,CC,MORTGAGE,HELOC,STUDENT LOAN,OTHER,ALL,,,AUTO,CC,MORTGAGE,HELOC,STUDENT LOAN,OTHER,ALL,,,,,,,,,,,,,,,,,,,,,,,,
03:Q1,2.18,8.27,1.44,0.81,,4.83,2.54,,03:Q1,5.06,15.92,21.30,0.31,4.30,8.36,55.25,,,,,,,,,,,,,,,,,,,,,,,,
03:Q2,2.19,8.41,1.50,0.78,,4.99,2.59,,03:Q2,4.15,17.94,20.80,0.32,3.89,7.28,54.38,,,,,,,,,,,,,,,,,,,,,,,,
03:Q3,2.14,8.17,1.50,0.71,,5.06,2.54,,03:Q3,4.99,13.65,20.30,0.19,3.52,7.40,50.05,,,,,,,,,,,,,,,,,,,,,,,,
03:Q4,2.04,8.06,1.44,0.47,,4.88,2.43,,03:Q4,4.57,19.43,24.40,0.52,3.79,8.30,61.01,,,,,,,,,,,,,,,,,,,,,,,,
04:Q1,1.97,7.77,1.34,0.41,5.77,4.98,2.27,,04:Q1,5.52,14.54,19.80,0.23,3.69,8.42,52.20,,,,,,,,,,,,,,,,,,,,,,,,
04:Q2,1.82,7.34,1.29,0.36,5.40,5.16,2.15,,04:Q2,3.58,11.98,20.50,0.28,3.83,6.56,46.73,,,,,,,,,,,,,,,,,,,,,,,,
04:Q3,1.77,7.14,1.34,0.35,5.59,4.96,2.13,,04:Q3,5.04,11.98,25.90,0.35,7.33,6.04,56.64,,,,,,,,,,,,,,,,,,,,,,,,
04:Q4,1.78,7.00,1.36,0.29,6.09,4.80,2.11,,04:Q4,5.44,16.64,25.50,0.54,5.64,6.85,60.61,,,,,,,,,,,,,,,,,,,,,,,,
05:Q1,1.69,6.64,1.36,0.40,6.81,4.43,2.07,,05:Q1,4.26,12.46,22.80,0.77,6.28,5.57,52.14,,,,,,,,,,,,,,,,,,,,,,,,
05:Q2,1.68,6.36,1.37,0.43,6.83,4.11,2.03,,05:Q2,3.55,12.13,21.20,0.47,7.56,4.75,49.66,,,,,,,,,,,,,,,,,,,,,,,,
05:Q3,1.66,6.27,1.31,0.43,7.17,4.25,1.99,,05:Q3,5.19,12.23,25.40,0.36,6.54,5.75,55.47,,,,,,,,,,,,,,,,,,,,,,,,
05:Q4,1.67,5.79,1.27,0.38,6.70,4.21,1.90,,05:Q4,4.38,11.96,26.80,0.48,6.14,6.16,55.92,,,,,,,,,,,,,,,,,,,,,,,,
06:Q1,1.66,5.51,1.32,0.31,6.68,4.15,1.89,,06:Q1,4.16,11.14,28.90,0.54,7.39,5.53,57.66,,,,,,,,,,,,,,,,,,,,,,,,
06:Q2,1.79,5.61,1.31,0.48,7.12,4.00,1.92,,06:Q2,4.62,13.16,23.90,1.53,7.95,5.10,56.26,,,,,,,,,,,,,,,,,,,,,,,,
06:Q3,2.02,5.59,1.46,0.66,7.35,3.82,2.05,,06:Q3,6.91,11.85,42.60,1.46,9.25,4.83,76.90,,,,,,,,,,,,,,,,,,,,,,,,
06:Q4,2.22,5.83,1.68,0.79,7.88,3.55,2.25,,06:Q4,6.40,15.53,47.40,1.41,9.93,5.21,85.88,,,,,,,,,,,,,,,,,,,,,,,,
