Transition into Serious Delinquency (90+) for Student Loans by Age,,,,,,,,,,Return to Table of Contents
Percent,,,,,,,,,,Source: New York Fed Consumer Credit Panel/Equifax
quarter,18-29,30-39,40-49,50+,all,,,,,Note: Four Quarter Moving Sum. Balances may not add up to totals due to a small number of individuals with unknown birthyears.
00:Q1,9.63,11.79,17.42,7.14,11.10,,,,,
00:Q2,11.41,12.34,15.04,5.93,11.57,,,,,
00:Q3,11.50,11.98,15.22,5.89,11.51,,,,,
00:Q4,11.93,11.47,14.51,6.06,11.47,,,,,
01:Q1,12.06,10.97,13.64,6.99,11.37,,,,,
01:Q2,11.57,11.47,13.75,7.45,11.37,,,,,
01:Q3,11.97,11.77,13.79,7.30,11.61,,,,,
01:Q4,12.60,12.92,13.32,8.00,12.21,,,,,
02:Q1,11.86,12.97,12.66,8.00,11.75,,,,,
02:Q2,10.82,12.16,13.25,8.57,11.23,,,,,
02:Q3,10.06,11.61,13.33,8.63,10.74,,,,,
02:Q4,8.60,11.31,14.51,8.96,10.23,,,,,
03:Q1, 8.78 , 11.92 , 14.64 , 9.44 , 10.53 ,,,,,
03:Q2, 7.42 , 12.16 , 13.76 , 10.96 , 10.00 ,,,,,
03:Q3, 6.09 , 11.19 , 11.84 , 10.54 , 8.85 ,,,,,
03:Q4, 4.81 , 9.63 , 9.50 , 8.28 , 7.28 ,,,,,
04:Q1, 3.84 , 6.93 , 8.68 , 7.96 , 5.77 ,,,,,
04:Q2, 3.78 , 5.99 , 9.07 , 6.73 , 5.40 ,,,,,
04:Q3, 3.84 , 6.16 , 9.68 , 6.66 , 5.59 ,,,,,
04:Q4, 4.10 , 6.37 , 10.20 , 8.84 , 6.09 ,,,,,
05:Q1, 4.72 , 7.54 , 10.28 , 9.02 , 6.81 ,,,,,
05:Q2, 4.74 , 7.71 , 10.22 , 8.34 , 6.83 ,,,,,
05:Q3, 5.29 , 7.78 , 10.52 , 8.50 , 7.17 ,,,,,
05:Q4, 5.07 , 7.27 , 9.73 , 7.47 , 6.70 ,,,,,
06:Q1, 4.78 , 7.34 , 9.69 , 8.06 , 6.68 ,,,,,
06:Q2, 5.38 , 7.90 , 9.45 , 8.43 , 7.12 ,,,,,
06:Q3, 5.44 , 8.64 , 9.61 , 7.91 , 7.35 ,,,,,
06:Q4, 5.85 , 9.54 , 9.97 , 8.01 , 7.88 ,,,,,
07:Q1, 6.17 , 9.42 , 10.77 , 7.64 , 8.05 ,,,,,
07:Q2, 5.86 , 9.81 , 10.75 , 7.97 , 8.11 ,,,,,
07:Q3, 5.69 , 9.41 , 9.47 , 7.90 , 7.71 ,,,,,
07:Q4, 5.50 , 9.43 , 9.08 , 7.41 , 7.52 ,,,,,
08:Q1, 5.39 , 9.50 , 9.08 , 6.54 , 7.39 ,,,,,
08:Q2, 5.17 , 8.66 , 9.04 , 6.21 , 6.98 ,,,,,
