New Foreclosures By Age,,,,,,,Return to Table of Contents
Thousands,,,,,,,Source: New York Fed Consumer Credit Panel/Equifax
,,,,,,,Note:  Balances may not add up to totals due to a small number of individuals with unknown birthyears.
quarter,18-29,30-39,40-49,50-59,60-69,70+,
00:Q1,16.26,49.16,49.88,27.1,8.82,6.34,
00:Q2,12.14,34.26,39.3,19.32,7.32,4.62,
00:Q3,14.14,40.26,40.98,20.5,7.14,5.36,
00:Q4,16.08,45.18,46.38,23.72,7.04,6.36,
01:Q1,15.42,46.16,49.22,26.46,8.74,5.94,
01:Q2,14.52,43.84,47.8,25.92,8.62,6.1,
01:Q3,17.68,48.38,47.46,26.08,8.96,6.72,
01:Q4,19.04,47.68,49.52,24.8,7.68,6.16,
02:Q1,23.86,74.94,81.38,46.32,14.84,9.08,
02:Q2,15.44,46.84,52.22,28.6,9.52,6.72,
02:Q3,19.14,54.04,53.36,30.66,9.9,6.26,
02:Q4,20.48,53.5,54.94,30.26,9.44,6.38,
03:Q1,18.88,58.14,62.46,33.56,10.7,6.56,
03:Q2,15.72,46.16,51.14,29.02,10.3,6.36,
03:Q3,16.2,49.3,53.94,30.6,10.1,6.9,
03:Q4,19.22,53.04,57.68,32.4,11.54,6.42,
04:Q1,15.84,50.96,56.14,33.24,11.12,7.06,
04:Q2,14.86,45.02,51.74,30.88,10,6.56,
04:Q3,16.96,45.7,49.24,30.06,10.58,6.14,
04:Q4,20.42,54,55.36,30.2,10.64,6.36,
05:Q1,15.46,47.18,52.04,31.98,11.48,7.08,
05:Q2,13.3,41.7,46.12,27.3,9.54,6.46,
05:Q3,16.78,43.68,48.66,29.64,8.9,6.38,
05:Q4,18.76,47.4,50.3,29.62,10.8,6.48,
06:Q1,17.14,48.92,52.66,32.72,11.46,7.04,
06:Q2,18.18,48.62,55.7,33.96,12.78,7.02,
06:Q3,21.06,55.06,56.6,34.42,11.62,7.24,
06:Q4,26.9,65.18,66.92,37.32,14.02,7.3,
07:Q1,28.56,78.9,82.04,48.86,17.6,8.86,
07:Q2,27.58,70.52,75.5,44.16,16.38,7.62,
07:Q3,36.36,99.14,96.28,58.88,19.9,9.96,
07:Q4,41.2,109.22,101.94,60.52,20.82,9.64,
08:Q1,42.28,130.04,130.3,78.86,29.68,12.86,
08:Q2,45.32,136.64,137.68,84.48,32.24,13.72,
08:Q3,46.24,132.24,134.44,81.34,32.72,13.8,
08:Q4,43.02,123.94,129.64,79.7,29.5,12.08,
09:Q1,38.46,144.42,159.46,107.14,43.52,19.34,
09:Q2,43.36,154.36,176.54,119.5,50.16,19.48,
09:Q3,37.6,133.54,150.3,103.16,43.68,17.86,
09:Q4,37.6,130.36,139.38,100.26,39.82,16.24,
10:Q1,28.46,116.34,142.92,102.6,45.24,18.86,
10:Q2,30.98,122.46,148.12,108.9,49.78,21.36,
10:Q3,28.68,118.02,140.84,103.96,45.56,18.46,
10:Q4,30.24,114.88,136.78,99.9,44.58,18.7,
11:Q1,18.56,91.46,113.54,86.44,39.38,17.42,
11:Q2,13.36,68.96,86.3,67.76,33.1,13.56,
11:Q3,13.06,62.14,83.94,61.54,29.18,13.34,
11:Q4,15.38,71.08,88.28,66.82,32.36,14.66,
12:Q1,11.42,67.68,88.32,69.48,34.98,18.54,
12:Q2,11.36,60.56,75.14,60.8,31.54,15.5,
12:Q3,11.04,56.02,73.04,56.94,29.68,14.26,
12:Q4,9.66,50.88,59.58,49.34,26.16,13.22,
13:Q1,6.84,40.16,53.88,45.12,23.88,12.76,
13:Q2,6.66,41.66,60.2,50.36,25.98,14.16,
13:Q3,6.56,35.5,48.34,42.5,22.34,11.8,
13:Q4,7.64,34.8,46.52,37.12,20.14,10.7,
14:Q1,4.68,30.78,43.7,36.98,17.92,10.44,
14:Q2,3.3,23.7,33.28,28.16,16.7,10.16,
14:Q3,3.28,22.2,32.68,29.04,15.8,9.78,
14:Q4,4.24,24.94,35.74,30.1,16.18,10.36,
15:Q1,3.24,23.04,33.56,27.96,14.94,9.08,
15:Q2,2.88,19.08,27.68,23.4,13.3,8.52,
15:Q3,3.28,18.4,26.04,22.86,13.42,8.16,
15:Q4,3.58,20.2,30.98,27.02,13.94,8.14,
16:Q1,2.86,17.76,26.76,25.58,14.28,9.44,
16:Q2,2.38,15.6,23.14,20.44,12.76,8.36,
16:Q3,2.72,15.48,22.36,19.64,11.86,8.36,
16:Q4,3.04,15.4,22.56,19.34,9.98,8.28,
17:Q1,2.7,17.42,25.3,23.04,13.06,8.94,
17:Q2,2.12,14.46,22.5,22.26,13.3,10,
17:Q3,2.36,12.74,18.06,17.82,10.96,7.58,
17:Q4,2.7,12.96,18.92,17.66,9.42,7.32,
18:Q1,2.36,13.86,21.84,18.68,11.46,8.16,
18:Q2,2.78,13.16,19.54,19.52,11.8,8.66,
18:Q3,2.34,11.68,15.88,16.14,10.1,8.14,
18:Q4,2.92,12.46,19.12,16.64,9.66,7.06,
19:Q1,2.92,12.28,20,16.64,11.28,7.92,
19:Q2,2.68,12.30,17.20,16.04,9.60,8.10,
19:Q3,2.68,10.58,17.44,16.34,9.80,7.72,
