New Bankruptcy By Age,,,,,,,Return to Table of Contents
Thousands,,,,,,,Source: New York Fed Consumer Credit Panel/Equifax
,,,,,,,Note:  Balances may not add up to totals due to a small number of individuals with unknown birthyears.
quarter,18-29,30-39,40-49,50-59,60-69,70+,
00:Q1,61.86,117.1,108.38,63.04,25.2,17.84,
00:Q2,74.44,157.16,135.18,79.94,30.04,19.56,
00:Q3,72.36,129.54,111.94,66.2,25.42,16.16,
00:Q4,75.52,130.5,115.6,66.34,24.94,15.56,
01:Q1,63.02,129.62,118.3,70.46,27.44,18.04,
01:Q2,90.7,181.82,168.38,104.18,40.98,25,
01:Q3,75.42,140.24,129.8,77.82,31.56,20.02,
01:Q4,82.68,154.08,139.88,82.96,31.68,21.02,
02:Q1,100.32,197.26,187.78,123.64,50.78,29.8,
02:Q2,79.64,154.38,141.18,89.02,33.86,18.96,
02:Q3,72.72,146.42,140.06,88.94,34.24,18.08,
02:Q4,74.9,145.66,143.2,88.26,36.88,18.76,
03:Q1,68.66,156.96,165.44,108.78,47.3,28.52,
03:Q2,77.7,166.54,166.3,106.36,43.32,24.1,
03:Q3,67.74,139.26,144.2,90.44,38.48,22.24,
03:Q4,66.02,130.04,135,89.42,37.56,20.26,
04:Q1,60.56,135.52,143.6,93.12,40.68,22.66,
04:Q2,69.8,146.8,153.58,99.18,44.3,22.1,
04:Q3,66.92,134.34,135.56,92.74,37.88,21.58,
04:Q4,75.76,151.02,153.16,102.98,41.78,22.5,
05:Q1,56.02,119.62,125.52,87.14,36.92,21.4,
05:Q2,83.46,174.96,178.98,127.16,55.3,29.22,
05:Q3,90.46,177.98,176.7,126.84,54.7,30.64,
05:Q4,142.78,257.9,257.14,173.72,68.4,33.26,
06:Q1,21.88,48.38,52.76,37.24,16.42,10.14,
06:Q2,25.72,63.72,69,49.48,23.22,13.54,
06:Q3,28.58,68.4,75.58,56.16,24.48,13.28,
06:Q4,32.4,71.38,75.96,53.72,25.04,14.46,
07:Q1,27.62,67.04,73.02,51.82,24.66,12.14,
07:Q2,32.18,76.76,78.72,60.14,25.86,13.74,
07:Q3,33.18,82.82,90.12,64.7,29.2,14.26,
07:Q4,36.04,91.2,99.94,72.18,31.98,15.38,
08:Q1,32.86,83.18,92.32,66.94,31.4,15.2,
08:Q2,38.78,99.38,109.68,79.1,37.22,16.8,
08:Q3,38.34,105.26,115.04,83.9,38.44,16.36,
08:Q4,41.02,107.88,121.56,91.02,43.52,19.3,
09:Q1,36.14,101.92,115.06,89.94,46.76,19.96,
09:Q2,45.36,134.3,151.9,113.08,53.72,22.94,
09:Q3,43.14,125.72,150.84,115.84,56.44,22.8,
09:Q4,39.76,120.38,141.88,110.3,52.66,20.72,
10:Q1,32.88,109.74,134.62,107.18,54.62,22.56,
10:Q2,44.42,147.72,181.98,144.74,71.06,29.56,
10:Q3,36.14,119.84,153.62,123.42,62.66,24.62,
10:Q4,35.58,116.76,149.36,116,57.48,23.6,
11:Q1,27.4,97.7,126.34,101.66,56.36,23.16,
11:Q2,31.62,108.88,142.22,110.26,56.06,22.96,
11:Q3,29.7,95.44,124.38,101.38,50.7,20.74,
11:Q4,26.72,95.56,129.6,100.98,50.18,21.32,
12:Q1,22.14,81.36,109.8,89.98,46.86,20.46,
12:Q2,24.9,91.96,115.9,97.26,47.18,20.76,
12:Q3,24.1,81.3,101.54,84.32,43.78,18.42,
12:Q4,22.58,74.98,98.58,81.44,41.32,16.3,
13:Q1,19.34,67.42,88.8,75.06,40.26,17.58,
13:Q2,23.82,82.86,108.58,94.28,48.34,21.4,
13:Q3,23.08,74.36,102.08,87.72,46.56,20.52,
13:Q4,19.72,72.54,95.44,82.88,41.68,19.32,
14:Q1,15.42,54.5,74.66,67.54,37.04,16.32,
14:Q2,17.84,66.58,88.74,76.62,39.94,17.54,
14:Q3,17.48,56.56,74.48,63.14,34.98,15.54,
14:Q4,18.82,56.02,76.98,64.14,35.84,15.3,
15:Q1,15.84,52.46,70.1,63.48,35.98,16.7,
15:Q2,18.68,59.08,72.94,62.82,35.04,16.12,
15:Q3,17.74,49.44,60.52,53.82,30.06,13.68,
15:Q4,16.66,46.04,56.66,51.82,28.06,13.7,
16:Q1,15.16,45.42,54.02,50.38,28.08,13.4,
16:Q2,17.68,50.44,58.4,51.5,30.74,15.32,
16:Q3,16.88,48.34,56.24,48.74,28.8,13.98,
16:Q4,16.7,44.34,53.78,48.26,27.24,13.46,
17:Q1,14.5,41.14,53.64,48.88,29.96,14.92,
17:Q2,17.96,49.1,59.96,50.06,30.78,15.8,
17:Q3,16.72,43.9,54.44,49.12,28.04,15.96,
17:Q4,16.74,42.36,51.74,44.52,29.44,15.36,
18:Q1,14.04,39.62,50.26,45.08,27.00,15.3,
18:Q2,17.44,47.06,58.82,51.58,32.12,17.66,
18:Q3,16.72,45.1,54.26,49.26,31.66,17.36,
18:Q4,14.9,41.74,51.24,45.78,26.62,14.78,
19:Q1,13.98,38.26,48.74,45.7,28.46,16.68,
19:Q2,18.06,48.74,59.26,55.22,31.54,19.04,
19:Q3,15.02,40.76,47.52,42.24,25.66,14.78,
