Delinquency Status of Debt Balance per Capita* by State (2019 Q3) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,current,30 days late,60 days late,90 days late,120+ days late,derogatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,51.45,0.64,0.32,0.19,0.44,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,69.88,0.62,0.36,0.17,0.40,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,44.05,0.67,0.26,0.18,0.40,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,45.54,0.50,0.22,0.15,0.38,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,36.89,0.46,0.18,0.09,0.37,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,56.49,0.71,0.22,0.26,0.54,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,48.31,0.53,0.14,0.09,0.40,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,49.05,0.62,0.30,0.25,0.68,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,37.19,0.53,0.15,0.16,0.37,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,40.82,0.51,0.27,0.10,0.35,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,42.52,0.69,0.23,0.12,0.42,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,48.83,0.62,0.25,0.15,0.45,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Based on the population with a credit report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: New York Fed Consumer Credit Panel/Equifax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
