Group,No,Yes
"Black, Non-Hispanic",75.77,22.34
Hispanic,84.91,13.14
"Other, Non-Hispanic",89.58,8.63
"White, Non-Hispanic",91.53,7.67
"Less than $20,000",76.36,21.56
"$20,000 to $29,999",81.23,17.19
"$30,000 to $39,999",85.34,13.52
"$40,000 to $49,999",85.65,11.78
"$50,000 to $59,999",89.90,9.50
"$60,000 to $74,999",90.78,8.76
"$75,000 to $99,999",93.09,6.18
"$100,000 to $149,999",93.09,6.10
"$150,000 or more",95.59,3.48
Pre-Boomer,95.59,3.15
Boomer,92.10,7.15
Gen X,85.73,13.29
Millennial,82.30,16.01
All,88.83,10.04
